clients,threads,pipeline,multi_get,throughput,KB/s,avg_latency,p99,p999,pareto
1,1,1,50,3522.76,181659.23,0.28225,0.399,0.431,False
1,1,8,50,12901.47,665191.21,0.6197,0.799,0.911,False
1,1,16,50,12962.18,668325.16,1.23397,1.511,1.639,False
1,1,32,50,12882.74,664223.78,2.48353,3.023,5.023,False
1,1,64,50,12884.98,664340.24,4.96639,6.047,8.319,False
1,1,128,50,12736.69,656684.18,10.04821,12.287,14.847,False
1,1,256,50,12444.35,641616.87,20.56646,25.087,28.159,False
1,2,1,50,15392.68,793727.99,0.12984,0.159,0.191,True
1,2,8,50,15812.18,815335.21,1.01129,1.271,1.407,False
1,2,16,50,14606.69,753193.05,2.1902,2.543,4.383,False
1,2,32,50,14379.72,741512.6,4.44987,5.087,7.487,False
1,2,64,50,14120.34,728131.76,9.06346,10.303,12.927,False
1,2,128,50,13404.06,691237.09,19.09373,21.887,25.599,False
1,2,256,50,13091.31,675115.57,39.09128,45.055,52.479,False
1,4,1,50,15072.64,777270.72,0.26531,0.455,0.583,False
1,4,8,50,15756.3,812576.64,2.03018,2.463,3.887,False
1,4,16,50,16149.99,832884.21,3.9618,4.511,6.783,False
1,4,32,50,14815.55,764012.97,8.63736,9.471,12.095,False
1,4,64,50,14382.32,741654.14,17.79528,20.223,23.167,False
1,4,128,50,13814.63,712406.01,37.04523,41.471,48.895,False
1,4,256,50,13225.99,682032.75,77.35087,88.063,101.887,False
1,8,1,50,16246.57,837807.31,0.49227,0.759,1.231,False
1,8,8,50,16302.87,840711.78,3.92479,4.735,7.199,False
1,8,16,50,18047.72,930812.81,7.0914,8.127,10.367,False
1,8,32,50,17134.56,883625.73,14.93747,16.895,20.351,False
1,8,64,50,15932.85,821597.51,32.12341,35.839,43.007,False
1,8,128,50,14728.73,759522.94,69.46693,78.847,92.671,False
1,8,256,50,13329.59,687392.26,153.35085,181.247,204.799,False
2,1,1,50,15162.23,781840.81,0.1319,0.159,0.183,False
2,1,8,50,14264.53,735565.19,1.12127,1.343,1.447,False
2,1,16,50,13999.31,721896.46,2.28542,2.623,4.575,False
2,1,32,50,13974.51,720620.03,4.57919,5.183,7.615,False
2,1,64,50,13784.92,710856.36,9.28419,10.495,13.119,False
2,1,128,50,13266.18,684138.14,19.29257,22.271,25.727,False
2,1,256,50,12841.89,662241.8,39.85056,45.567,52.991,False
2,2,1,50,14960.1,771466.25,0.26733,0.455,0.527,False
2,2,8,50,15926.39,821358.4,2.00859,2.367,3.535,False
2,2,16,50,16128.25,831765.69,3.96722,4.447,6.879,False
